Value,Name-et-EE,Name-en-GB,Name-ru-RU,Label-et-EE,Label-en-GB,Label-ru-RU,Parent,Level,Description-et-EE,Description-en-GB,Description-ru-RU,IsGenerated,IsValid,ValidFrom,ValidTo
1454,,,,Audjassaare küla,Audjassaare village,Деревня Аудьяссааре,0732,3,"Võru maakond, Setomaa vald, Audjassaare küla","Võru county, Setomaa rural municipality, Audjassaare village","Выруский уезд, волость Сетомаа, деревня Аудьяссааре",,1,,
1490,,,,Beresje küla,Beresje village,Деревня Бересье,0732,3,"Võru maakond, Setomaa vald, Beresje küla","Võru county, Setomaa rural municipality, Beresje village","Выруский уезд, волость Сетомаа, деревня Бересье",,1,,
1627,,,,Ermakova küla,Ermakova village,Деревня Эрмакова,0732,3,"Võru maakond, Setomaa vald, Ermakova küla","Võru county, Setomaa rural municipality, Ermakova village","Выруский уезд, волость Сетомаа, деревня Эрмакова",,1,,
1803,,,,Helbi küla,Helbi village,Деревня Хелби,0732,3,"Võru maakond, Setomaa vald, Helbi küla","Võru county, Setomaa rural municipality, Helbi village","Выруский уезд, волость Сетомаа, деревня Хелби",,1,,
1837,,,,Hilana küla,Hilana village,Деревня Хилана,0732,3,"Võru maakond, Setomaa vald, Hilana küla","Võru county, Setomaa rural municipality, Hilana village","Выруский уезд, волость Сетомаа, деревня Хилана",,1,,
1840,,,,Hilläkeste küla,Hilläkeste village,Деревня Хиллякесте,0732,3,"Võru maakond, Setomaa vald, Hilläkeste küla","Võru county, Setomaa rural municipality, Hilläkeste village","Выруский уезд, волость Сетомаа, деревня Хиллякесте",,1,,
1859,,,,Hindsa küla,Hindsa village,Деревня Хиндса,0732,3,"Võru maakond, Setomaa vald, Hindsa küla","Võru county, Setomaa rural municipality, Hindsa village","Выруский уезд, волость Сетомаа, деревня Хиндса",,1,,
1878,,,,Holdi küla,Holdi village,Деревня Холди,0732,3,"Võru maakond, Setomaa vald, Holdi küla","Võru county, Setomaa rural municipality, Holdi village","Выруский уезд, волость Сетомаа, деревня Холди",,1,,
1949,,,,Härmä küla,Härmä village,Деревня Хярмя,0732,3,"Võru maakond, Setomaa vald, Härmä küla","Võru county, Setomaa rural municipality, Härmä village","Выруский уезд, волость Сетомаа, деревня Хярмя",,1,,
1999,,,,Ignasõ küla,Ignasõ village,Деревня Игназы,0732,3,"Võru maakond, Setomaa vald, Ignasõ küla","Võru county, Setomaa rural municipality, Ignasõ village","Выруский уезд, волость Сетомаа, деревня Игназы",,1,,
